Starting trading simulation... for 60 seconds
ADDED: BUY 275 TICK835 @ $78.00
ADDED: BUY 936 TICK81 @ $81.95
ADDED: BUY 708 TICK335 @ $56.48
ADDED: BUY 627 TICK511 @ $68.98
ADDED: SELL 175 TICK923 @ $64.28
ADDED: BUY 455 TICK184 @ $30.52
ADDED: SELL 592 TICK115 @ $58.72
ADDED: SELL 591 TICK699 @ $86.92
ADDED: BUY 517 TICK316 @ $15.09
ADDED: SELL 633 TICK56 @ $23.61
ADDED: SELL 268 TICK20 @ $89.32
ADDED: SELL 993 TICK396 @ $76.13
ADDED: SELL 422 TICK67 @ $76.51
ADDED: BUY 705 TICK974 @ $96.17
ADDED: BUY 934 TICK685 @ $60.98
ADDED: BUY 625 TICK275 @ $90.26
ADDED: SELL 157 TICK228 @ $86.02
ADDED: SELL 120 TICK972 @ $87.46
ADDED: BUY 257 TICK1004 @ $50.05
ADDED: BUY 296 TICK894 @ $56.45
ADDED: SELL 913 TICK985 @ $76.41
ADDED: BUY 311 TICK540 @ $71.79
ADDED: SELL 981 TICK378 @ $36.81
ADDED: BUY 774 TICK1021 @ $10.32
ADDED: SELL 920 TICK190 @ $25.22
ADDED: BUY 242 TICK815 @ $48.92
ADDED: BUY 310 TICK761 @ $16.41
ADDED: SELL 163 TICK590 @ $88.67
ADDED: SELL 646 TICK514 @ $95.64
ADDED: BUY 762 TICK30 @ $81.40
ADDED: BUY 706 TICK158 @ $37.42
ADDED: BUY 263 TICK624 @ $72.94
ADDED: BUY 628 TICK642 @ $30.46
ADDED: BUY 214 TICK419 @ $12.38
ADDED: SELL 801 TICK105 @ $18.26
ADDED: BUY 434 TICK372 @ $36.93
ADDED: SELL 608 TICK712 @ $91.19
ADDED: BUY 592 TICK1018 @ $45.40
ADDED: SELL 478 TICK490 @ $13.29
ADDED: SELL 678 TICK714 @ $31.21
ADDED: SELL 572 TICK109 @ $17.43
ADDED: SELL 521 TICK811 @ $56.16
ADDED: SELL 685 TICK611 @ $85.83
ADDED: SELL 872 TICK619 @ $82.28
ADDED: SELL 185 TICK388 @ $57.09
ADDED: SELL 877 TICK686 @ $88.65
ADDED: BUY 329 TICK873 @ $35.81
ADDED: BUY 352 TICK976 @ $28.07
ADDED: BUY 496 TICK926 @ $25.91
ADDED: SELL 480 TICK368 @ $74.44
ADDED: SELL 473 TICK436 @ $61.97
ADDED: SELL 873 TICK724 @ $98.79
ADDED: SELL 478 TICK332 @ $59.14
ADDED: BUY 783 TICK96 @ $70.94
ADDED: SELL 893 TICK302 @ $32.09
ADDED: SELL 801 TICK28 @ $64.88
